46.162.8.179 54321 高度匿名   乌克兰                                                                    
77.103.153.29 9090 匿名   英国 
122.70.156.157 80 透明   北京市 铁通
124.193.109.17 80 透明   北京市 电信通
72.52.126.3 80 匿名   美国 加利福尼亚州弗里蒙特市HurricaneElectric公
221.178.210.37 80 透明   江苏省 移动
113.9.96.233 8909 透明   黑龙江省哈尔滨市 联通
121.97.81.153 8080 匿名   菲律宾 Bayan通讯公司用户
80.0.76.158 9090 匿名   英国 
202.146.109.15 80 高度匿名   香港 特别行政区
98.206.20.88 9090 匿名   美国 新泽西州月桂山镇Comcast有线通信公司
68.55.225.102 9090 匿名   美国 新泽西州月桂山镇Comcast通信公司
201.75.20.103 6588 匿名   巴西 Vivax公司
202.116.160.89 80 高度匿名   华南农业大学 
82.41.21.126 9090 匿名   英国 
210.13.215.87 8080 匿名   福建省厦门市 联通
203.129.192.91 80 匿名   印度 Software Technology Parks of 
24.10.84.226 9090 匿名   美国 新泽西州月桂山镇Comcast有线通信公司
85.17.97.6 80 高度匿名   荷兰 阿姆斯特丹Leaseweb IDC
218.28.111.4 3128 透明   河南省济源市 联通
218.28.142.100 8080 透明   河南省郑州市 联通
71.200.233.55 9090 匿名   美国 新泽西州月桂山镇Comcast通信公司
192.197.121.2 3128 高度匿名   加拿大 
189.60.224.13 6588 匿名   巴西 itmop.com
82.46.144.165 9090 匿名   英国 
221.130.17.139 80 透明   江苏省南京市 移动
222.216.240.8 8080 透明   广西柳州市 蓝鹰网吧
69.142.108.83 9090 匿名   美国 新泽西州月桂山镇Comcast有线通信公司
193.136.124.228 80 匿名   葡萄牙 新里斯本大学
220.249.91.11 808 透明   湖北省武汉市 联通
122.193.109.118 80 透明   江苏省苏州市 联通
86.0.224.116 9090 匿名   英国 爱丁堡市
82.32.221.58 9090 匿名   英国 
202.67.247.186 8000 透明   香港 特别行政区
68.62.176.8 9090 匿名   美国 新泽西州月桂山镇Comcast通信公司
202.171.253.70 80 透明   澳门 特别行政区
68.111.231.178 9090 匿名   美国 俄克拉荷马
222.73.10.83 80 透明   上海市 电信(外高桥)IDC机房
24.192.240.240 9090 匿名   美国 
78.189.159.107 8086 高度匿名   土耳其 
68.98.0.233 9090 匿名   美国 俄克拉荷马
24.8.191.246 9090 匿名   美国 新泽西州月桂山镇Comcast有线通信公司
116.55.19.96 808 透明   云南省楚雄州楚雄市 电信
86.22.7.232 9090 匿名   英国 苏格兰
82.44.34.27 9090 匿名   英国 
218.92.252.25 8080 匿名   江苏省盐城市 (城区)电信
111.1.32.69 80 透明   浙江省温州市 移动
61.238.104.200 808 匿名   香港 城市电讯有限公司
212.49.64.3 80 高度匿名   肯尼亚 
72.52.126.3 80 高度匿名   美国 加利福尼亚州弗里蒙特市HurricaneElectric公
24.161.131.67 9090 匿名   美国 弗吉尼亚州
76.173.95.124 9090 匿名   美国 弗吉尼亚州赫恩登镇Road Runner控股有限责任公司
203.134.206.130 6588 高度匿名   印度 
113.124.33.61 8909 透明   山东省烟台市 电信
70.125.110.220 9090 匿名   美国 弗吉尼亚州赫恩登镇Road Runner控股有限责任公司
91.194.246.233 117 匿名   俄罗斯 itmop.com
72.207.59.75 9090 匿名   美国 佐治亚州亚特兰大市Cox通信公司
59.127.108.168 8000 透明   台湾省 中华电信
24.167.83.34 9090 匿名   美国 Road
82.43.63.99 9090 匿名   英国 伦敦
60.191.232.230 80 透明   浙江省金华市 电信
99.225.136.21 9090 匿名   加拿大 
69.246.61.14 9090 匿名   美国 新泽西州月桂山镇Comcast有线通信公司
77.103.130.91 9090 匿名   英国 
82.40.215.66 9090 匿名   英国 
221.7.147.172 3128 匿名   广西桂林市 联通
113.232.17.144 8909 透明   辽宁省沈阳市 联通
68.37.220.126 8085 高度匿名   美国 新泽西州月桂山镇Comcast通信公司
98.192.95.181 9090 匿名   美国 新泽西州月桂山镇Comcast有线通信公司
218.28.111.46 8080 透明   河南省济源市 联通
69.161.78.160 9090 匿名   美国 
70.64.250.176 9090 匿名   加拿大 
158.130.6.253 3128 高度匿名   美国 宾夕法尼亚大学
211.75.91.8 80 高度匿名   台湾省 台中
72.128.40.214 9090 匿名   美国 德克萨斯州奥斯汀市
110.77.139.146 174 匿名   泰国 
221.1.96.22 443 透明   山东省潍坊市昌乐县 联通
76.183.112.143 9090 匿名   美国 
46.146.234.187 120 匿名   俄罗斯 
216.80.118.13 9090 匿名   美国 
65.28.8.13 9090 匿名   美国 弗吉尼亚州赫恩登镇Road Runner控股有限责任公司
201.45.188.169 6588 匿名   巴西 
72.137.122.212 9090 匿名   加拿大 
67.81.235.37 9090 匿名   美国 纽约州纳苏县牡蛎湾镇希克维尔村Cablevision系统控
143.215.131.206 174 匿名   美国 佐治亚理工大学
189.19.168.149 6588 匿名   巴西 itmop.com
202.171.253.69 80 透明   澳门 特别行政区
221.130.18.154 80 透明   江苏省南京市 移动
193.160.201.102 80 高度匿名   挪威 
85.214.50.156 80 匿名   德国 
221.204.246.161 80 透明   山西省太原市 联通IDC机房
189.19.60.123 6588 匿名   巴西 
210.5.152.17 3128 透明   上海市 上海DMT信息网络有限公司
221.130.17.149 80 透明   江苏省南京市 移动
209.159.241.112 9090 匿名   美国 
222.217.18.138 8080 透明   广西柳州市柳南区 眺望网吧(航二路)
    217.196.235.18 80 高度匿名   英国 
    111.163.0.118 8909 透明   天津市 联通
    97.87.65.118 9090 匿名   美国 马里兰州圣路易斯市Chater通讯公司
    123.191.39.67 8909 透明   辽宁省沈阳市 联通ADSL
    202.152.6.169 3128 匿名   印度尼西亚 
    221.130.23.158 80 透明   江苏省南京市 移动
    222.77.14.54 8088 透明   福建省泉州市 电信ADSL
    80.4.59.69 9090 匿名   英国 itmop.com
    122.72.33.138 80 透明   甘肃省 铁通
    195.138.88.105 3128 高度匿名   乌克兰 
    99.254.157.217 9090 匿名   加拿大 多伦多
    115.59.210.10 8909 透明   河南省洛阳市 联通
    207.181.207.36 9090 匿名   美国 
    221.1.96.22 443 透明   山东省潍坊市昌乐县 联通
    122.72.20.224 80 透明   甘肃省 铁通
    95.69.132.78 8008 高度匿名   乌克兰 
    113.1.229.137 8909 透明   黑龙江省 联通
    202.103.106.19 808 高度匿名   湖南省长沙市 电信
    61.191.187.113 8080 透明   安徽省蚌埠市 电信
    118.139.160.154 80 匿名   新加坡 
    199.222.14.81 80 匿名   美国 
    187.85.160.3 80 高度匿名   巴西 
    200.61.19.208 6588 匿名   阿根廷 
    186.215.214.115 8080 匿名   巴西 
    122.72.28.19 80 透明   甘肃省 铁通
    119.161.238.90 80 透明   北京市 蓝波宽带
    111.1.32.120 80 透明   浙江省温州市 移动
    203.124.21.224 6588 匿名   印度 
    66.253.168.169 9090 匿名   美国 
    68.199.107.24 9090 匿名   美国 纽约州纳苏县牡蛎湾镇希克维尔村Cablevision系统控
    81.98.109.201 9090 匿名   英国 
    58.68.138.162 80 透明   安徽省 铁通(全省通用)
    80.120.47.123 8080 匿名   奥地利 
    201.80.207.132 6588 匿名   巴西 Vivax公司
    77.97.103.232 9090 匿名   英国 itmop.com
    209.145.114.173 9090 匿名   加拿大 
    124.193.109.14 80 透明   北京市 电信通
    221.206.40.125 80 透明   黑龙江省牡丹江市 联通
    72.178.138.75 8080 匿名   美国 弗吉尼亚州赫恩登镇Road Runner控股有限责任公司
    207.50.148.37 9090 匿名   美国 
    71.192.233.196 9090 匿名   美国 新泽西州月桂山镇Comcast通信公司
    58.210.6.50 1337 高度匿名   江苏省苏州市 电信ADSL
    89.253.113.228 80 匿名   瑞典 
    125.34.30.201 8080 匿名   北京市 联通ADSL
    130.49.221.41 3127 高度匿名   美国 宾夕法尼亚州匹兹堡大学
    184.22.249.125 8080 高度匿名   美国 宾夕法尼亚州拉克瓦纳县斯克兰顿市NetworkOperat
    24.205.202.45 9090 匿名   美国 Charter通信用户
    218.210.199.252 3128 透明   台湾省 新世纪资通股份有限公司
    189.47.137.189 6588 匿名   巴西 
    24.98.81.111 9090 匿名   美国 纽约
    124.160.110.243 3128 透明   浙江省温州市 (苍南县)联通
    218.29.89.203 8080 透明   河南省郑州市 联通
    61.185.143.178 8080 透明   陕西省商洛市 洛南县苹果网吧
    211.166.8.158 8080 高度匿名   北京市 长城宽带
    189.79.63.28 6588 匿名   巴西 
    122.224.148.5 80 透明   浙江省杭州市 电信
    205.213.195.70 80 匿名   美国 
    200.37.63.11 3128 匿名   秘鲁 
    70.95.110.195 9090 匿名   美国 维吉尼亚州Herndon
    117.28.76.93 8909 透明   福建省泉州市 电信
    218.80.232.38 8080 匿名   上海市普陀区 /长宁区电信
    200.3.252.170 3128 匿名   巴拉圭 itmop.com
    99.237.129.44 9090 匿名   加拿大 
    218.26.6.226 1337 透明   山西省太原市 联通
    66.214.17.189 9090 匿名   美国 洛杉矶Charter通讯公司
    122.72.20.222 80 透明   甘肃省 铁通
    217.196.235.18 80 匿名   英国 
    71.10.72.221 9090 匿名   美国 密苏里州圣路易斯市
